id,Site,Type,date,year,NDVI,NDWI,cloud_cover
20,San Carlos Reservation,Wild,2020-01-15,2020,0.11106420336380053,-0.13595401920199393,56.7
20,San Carlos Reservation,Wild,2020-01-31,2020,0.12786105933751787,-0.1497336886400938,1.78
20,San Carlos Reservation,Wild,2020-02-16,2020,0.1373205118314154,-0.16011339310348244,6.13
18,Picacho Peak State Park,Wild,2020-01-06,2020,0.1301260978945638,-0.15596009561241958,1.47
20,San Carlos Reservation,Wild,2020-01-06,2020,0.10843281962949329,-0.13669157578239421,1.47
23,Suguaro Lake,Wild,2020-01-06,2020,0.15838914823361128,-0.17467260167982163,1.47
18,Picacho Peak State Park,Wild,2020-01-22,2020,0.160094011482379,-0.16785652444534863,52.33
20,San Carlos Reservation,Wild,2020-01-22,2020,0.11542774524262728,-0.13480738679919346,52.33
23,Suguaro Lake,Wild,2020-01-22,2020,0.16751697652644973,-0.1747021450352889,52.33
18,Picacho Peak State Park,Wild,2020-02-07,2020,0.17073312645003358,-0.19036554124429605,0.45
20,San Carlos Reservation,Wild,2020-02-07,2020,0.1283305986054725,-0.15434922908782336,0.45
23,Suguaro Lake,Wild,2020-02-07,2020,0.1575360924379898,-0.1784452439565568,0.45
18,Picacho Peak State Park,Wild,2020-02-23,2020,0.1752142324305351,-0.18693763753373918,55.06
20,San Carlos Reservation,Wild,2020-02-23,2020,0.14128177301697942,-0.16003141180303207,55.06
18,Picacho Peak State Park,Wild,2020-01-06,2020,0.130354380167793,-0.15548431925732475,0.15
18,Picacho Peak State Park,Wild,2020-01-22,2020,0.16578003282851914,-0.1692415029989679,54.12
18,Picacho Peak State Park,Wild,2020-02-07,2020,0.16994731828457418,-0.1891621715454134,0.07
18,Picacho Peak State Park,Wild,2020-02-23,2020,0.1728701508985866,-0.1847590700589634,9.5
4,Black Canyon City,Wild,2020-01-13,2020,0.1459749714814412,-0.16276633742380128,1.58
23,Suguaro Lake,Wild,2020-01-13,2020,0.16396293229838407,-0.18257847433209462,1.58
4,Black Canyon City,Wild,2020-01-29,2020,0.12208987261423326,-0.1403290266881215,57.99
23,Suguaro Lake,Wild,2020-01-29,2020,0.0923252870926239,-0.10221554411176964,57.99
4,Black Canyon City,Wild,2020-02-14,2020,0.15423799316114828,-0.17166793176876816,10.62
23,Suguaro Lake,Wild,2020-02-14,2020,0.16177585710822526,-0.18275966140325206,10.62
4,Black Canyon City,Wild,2020-01-13,2020,0.14908387215308766,-0.16312210801606267,0.03
9,Estrella Mountain Regional Park,Wild,2020-01-13,2020,0.11121062180276367,-0.13526067508426462,0.03
22,South Mountain Park and Preserve,Wild,2020-01-13,2020,0.1051845957730413,-0.12494730267031826,0.03
23,Suguaro Lake,Wild,2020-01-13,2020,0.15458429436461582,-0.17444425855920823,0.03
22,South Mountain Park and Preserve,Wild,2020-01-29,2020,0.11171301422580751,-0.1362182537761167,47.22
4,Black Canyon City,Wild,2020-02-14,2020,0.15079011476137463,-0.16620222511081553,0.03
9,Estrella Mountain Regional Park,Wild,2020-02-14,2020,0.12137352531865113,-0.14509855433881838,0.03
22,South Mountain Park and Preserve,Wild,2020-02-14,2020,0.10210673532825071,-0.12368723326596097,0.03
23,Suguaro Lake,Wild,2020-02-14,2020,0.15389710126509573,-0.1760302553787502,0.03
11,Gold Butte National Monument,Wild,2020-01-04,2020,0.07390882116282452,-0.10424754043096432,26.55
11,Gold Butte National Monument,Wild,2020-02-05,2020,0.09305943900850448,-0.1335418168889792,28.61
11,Gold Butte National Monument,Wild,2020-02-21,2020,0.09766175155112312,-0.1411443260071864,1.54
12,Golden Valley,Wild,2020-01-04,2020,0.08785587726230779,-0.1311600038091229,0.41
12,Golden Valley,Wild,2020-02-05,2020,0.10869444692195859,-0.14950430986060712,24.82
12,Golden Valley,Wild,2020-02-21,2020,0.11422772136788423,-0.1579091828988524,1.78
11,Gold Butte National Monument,Wild,2020-01-11,2020,0.08185494656462503,-0.12287069198521983,1.08
12,Golden Valley,Wild,2020-01-11,2020,0.090783271880257,-0.1374455221267404,1.08
11,Gold Butte National Monument,Wild,2020-01-27,2020,0.09004331735251044,-0.1318275402466156,0.61
12,Golden Valley,Wild,2020-01-27,2020,0.1050260385116004,-0.15022703423216996,0.61
11,Gold Butte National Monument,Wild,2020-02-12,2020,0.09898219280674066,-0.15226099539015006,8.11
12,Golden Valley,Wild,2020-02-12,2020,0.11620968619567483,-0.1620786263100782,8.11
11,Gold Butte National Monument,Wild,2020-02-28,2020,0.09177140859866577,-0.12691545412519972,75.05
