Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
San Carlos Reservation,1,2015,1,0,2015-01-01,0.10323591779304439,-0.12952846785814612,0.46500927783134643,6.5276908138628595,32.17,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2015,1,16,2015-01-17,0.09169317395444937,-0.12547288950326022,0.7488379909161801,14.967224952946887,5.48,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2016,1,19,2016-01-20,0.1127188286481671,-0.1409776538609782,0.9342344583267238,17.874854240453583,4.02,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2017,1,5,2017-01-06,0.0957453254057214,-0.12498052109808051,0.7051417599714469,11.904536103120616,27.02,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2017,1,21,2017-01-22,0.10623687071770095,-0.13155998707234687,0.8561571657311667,11.107113182783657,27.83,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2018,1,8,2018-01-09,0.0890956926359962,-0.13322249980347226,0.5033055235440451,14.91094625039294,69.31,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2018,1,24,2018-01-25,0.09024294611955928,-0.1326385922462044,0.6364806288602624,14.920230768906174,15.1,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2019,1,11,2019-01-12,0.126283997983929,-0.1548695949290675,0.9462388221069743,11.794194783938135,8.09,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2019,1,27,2019-01-28,0.13285062640602358,-0.16063333198779473,1.0146845513384424,17.764867530064496,0.96,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2020,1,14,2020-01-15,0.11106420336379992,-0.13595401920199354,0.8880880213004508,9.59719067254404,56.7,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2020,1,30,2020-01-31,0.12786105933751843,-0.1497336886400937,1.1888436234983086,17.180620092955706,1.78,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2021,1,0,2021-01-01,0.09275631156038353,-0.13664415812150543,0.6244933756185724,16.042691816125096,20.95,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2021,1,16,2021-01-17,0.08904881682173454,-0.13372691105102286,0.6046839997791535,19.74363336652918,0.32,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2022,1,3,2022-01-04,0.09074585870162716,-0.12560802880888472,0.7526738061362868,10.939260827847267,0.16,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2022,1,19,2022-01-20,0.09436403050072939,-0.1315409916985082,0.6915437477109041,16.383123366016044,2.82,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2023,1,6,2023-01-07,0.0908676291339696,-0.12007959004321891,0.8800465659847899,13.329641224815523,7.05,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2024,1,9,2024-01-10,0.11857236858710507,-0.14629469777883983,0.8307460588101215,9.72404352258009,1.23,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2024,1,25,2024-01-26,0.12458143391439032,-0.1458484070400257,1.073639880469896,14.590940103236857,24.11,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2015,1,7,2015-01-08,0.09095546427921491,-0.12549806066198588,0.605338576661113,10.052351463879004,65.29,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2015,1,7,2015-01-08,0.11430697316031638,-0.14469552268492505,0.6514617614213687,10.377751889320344,65.29,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2015,1,23,2015-01-24,0.1232379554826273,-0.16117327621523003,0.7236947752480241,23.01558679160329,2.31,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2015,1,23,2015-01-24,0.09104311668900168,-0.12904637561639706,0.6481249238020134,15.845520416460948,2.31,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2015,1,23,2015-01-24,0.13096628576483407,-0.16006428057033653,0.806617233066966,20.5794964690911,2.31,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2016,1,10,2016-01-11,0.08843593628633835,-0.12959336890228687,0.5388318139821714,15.868304532440886,1.62,-111.41815309346114,32.63191414376897
