,Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
0,San Carlos Reservation,1,2015,1,0,2015-01-01,0.1032359177930443,-0.1295284678581461,0.4650092778313464,6.52769081386286,32.17,-110.30604951317056,33.27674050735342
1,San Carlos Reservation,1,2015,1,16,2015-01-17,0.0916931739544493,-0.1254728895032602,0.7488379909161801,14.967224952946887,5.48,-110.30604951317056,33.27674050735342
2,San Carlos Reservation,1,2016,1,19,2016-01-20,0.1127188286481671,-0.1409776538609782,0.9342344583267238,17.874854240453583,4.02,-110.30604951317056,33.27674050735342
3,San Carlos Reservation,1,2017,1,5,2017-01-06,0.0957453254057214,-0.1249805210980805,0.7051417599714469,11.904536103120616,27.02,-110.30604951317056,33.27674050735342
4,San Carlos Reservation,1,2017,1,21,2017-01-22,0.1062368707177009,-0.1315599870723468,0.8561571657311667,11.107113182783657,27.83,-110.30604951317056,33.27674050735342
5,San Carlos Reservation,1,2018,1,8,2018-01-09,0.0890956926359962,-0.1332224998034722,0.5033055235440451,14.91094625039294,69.31,-110.30604951317056,33.27674050735342
6,San Carlos Reservation,1,2018,1,24,2018-01-25,0.0902429461195592,-0.1326385922462044,0.6364806288602624,14.920230768906174,15.1,-110.30604951317056,33.27674050735342
7,San Carlos Reservation,1,2019,1,11,2019-01-12,0.126283997983929,-0.1548695949290675,0.9462388221069744,11.794194783938137,8.09,-110.30604951317056,33.27674050735342
8,San Carlos Reservation,1,2019,1,27,2019-01-28,0.1328506264060235,-0.1606333319877947,1.0146845513384424,17.764867530064496,0.96,-110.30604951317056,33.27674050735342
9,San Carlos Reservation,1,2020,1,14,2020-01-15,0.1110642033637999,-0.1359540192019935,0.8880880213004508,9.59719067254404,56.7,-110.30604951317056,33.27674050735342
10,San Carlos Reservation,1,2020,1,30,2020-01-31,0.1278610593375184,-0.1497336886400937,1.1888436234983086,17.180620092955706,1.78,-110.30604951317056,33.27674050735342
11,San Carlos Reservation,1,2021,1,0,2021-01-01,0.0927563115603835,-0.1366441581215054,0.6244933756185724,16.042691816125096,20.95,-110.30604951317056,33.27674050735342
12,San Carlos Reservation,1,2021,1,16,2021-01-17,0.0890488168217345,-0.1337269110510228,0.6046839997791535,19.74363336652918,0.32,-110.30604951317056,33.27674050735342
13,San Carlos Reservation,1,2022,1,3,2022-01-04,0.0907458587016271,-0.1256080288088847,0.7526738061362868,10.939260827847267,0.16,-110.30604951317056,33.27674050735342
14,San Carlos Reservation,1,2022,1,19,2022-01-20,0.0943640305007293,-0.1315409916985082,0.6915437477109041,16.383123366016044,2.82,-110.30604951317056,33.27674050735342
15,San Carlos Reservation,1,2023,1,6,2023-01-07,0.0908676291339696,-0.1200795900432189,0.8800465659847899,13.329641224815523,7.05,-110.30604951317056,33.27674050735342
16,San Carlos Reservation,1,2024,1,9,2024-01-10,0.118572368587105,-0.1462946977788398,0.8307460588101215,9.72404352258009,1.23,-110.30604951317056,33.27674050735342
17,San Carlos Reservation,1,2024,1,25,2024-01-26,0.1245814339143903,-0.1458484070400257,1.073639880469896,14.590940103236855,24.11,-110.30604951317056,33.27674050735342
18,San Carlos Reservation,1,2015,1,7,2015-01-08,0.0909554642792149,-0.1254980606619858,0.605338576661113,10.052351463879004,65.29,-110.30604951317056,33.27674050735342
19,Suguaro Lake,1,2015,1,7,2015-01-08,0.1143069731603163,-0.144695522684925,0.6514617614213687,10.377751889320344,65.29,-111.54542297799958,33.59825955383104
20,Picacho Peak State Park,1,2015,1,23,2015-01-24,0.1232379554826273,-0.16117327621523,0.7236947752480241,23.01558679160329,2.31,-111.41815309346114,32.63191414376897
21,San Carlos Reservation,1,2015,1,23,2015-01-24,0.0910431166890016,-0.129046375616397,0.6481249238020134,15.845520416460948,2.31,-110.30604951317056,33.27674050735342
22,Suguaro Lake,1,2015,1,23,2015-01-24,0.130966285764834,-0.1600642805703365,0.806617233066966,20.5794964690911,2.31,-111.54542297799958,33.59825955383104
23,Picacho Peak State Park,1,2016,1,10,2016-01-11,0.0884359362863383,-0.1295933689022868,0.5388318139821714,15.868304532440886,1.62,-111.41815309346114,32.63191414376897
24,San Carlos Reservation,1,2016,1,10,2016-01-11,0.1076093076037863,-0.1369431871863356,0.8600193931065674,10.048184111242714,1.62,-110.30604951317056,33.27674050735342
25,Suguaro Lake,1,2016,1,10,2016-01-11,0.1137729969581814,-0.1396768745993251,1.0101267025871048,13.039948737643805,1.62,-111.54542297799958,33.59825955383104
26,Picacho Peak State Park,1,2016,1,26,2016-01-27,0.0987094995442133,-0.1415299234984529,0.5759605775297166,23.01994157295718,0.48,-111.41815309346114,32.63191414376897
27,San Carlos Reservation,1,2016,1,26,2016-01-27,0.1124260473413041,-0.1448205859209846,0.8410260477353563,15.91418165928899,0.48,-110.30604951317056,33.27674050735342
28,Suguaro Lake,1,2016,1,26,2016-01-27,0.1279708842117698,-0.1557889339112235,0.8483042133276278,19.6040306074082,0.48,-111.54542297799958,33.59825955383104
29,San Carlos Reservation,1,2017,1,12,2017-01-13,0.0228632965473786,-0.0349787663564186,-1.3118256835029545,-14.520426519999983,71.95,-110.30604951317056,33.27674050735342
30,Picacho Peak State Park,1,2017,1,28,2017-01-29,0.096887761245794,-0.13814599074803,0.6018113512122931,20.202536497588163,1.94,-111.41815309346114,32.63191414376897
31,San Carlos Reservation,1,2017,1,28,2017-01-29,0.1032002283567885,-0.1342415998038058,0.8748249394777604,14.576807334405432,1.94,-110.30604951317056,33.27674050735342
32,Suguaro Lake,1,2017,1,28,2017-01-29,0.1424686656685659,-0.1650192961265499,0.8565993677154015,18.449970704424253,1.94,-111.54542297799958,33.59825955383104
33,Picacho Peak State Park,1,2018,1,15,2018-01-16,0.0687920545104557,-0.1209878355643801,0.313719226441554,22.666417580589226,1.54,-111.41815309346114,32.63191414376897
