id,Site,Type,date,year,NDVI,NDWI,cloud_cover
20,San Carlos Reservation,Wild,2020-06-07,2020,0.13108671935880392,-0.1800303428968922,0.02
20,San Carlos Reservation,Wild,2020-06-23,2020,0.12416875454859343,-0.17320125254129365,5.89
20,San Carlos Reservation,Wild,2020-07-09,2020,0.12180077172229964,-0.17291105682999688,6.94
20,San Carlos Reservation,Wild,2020-07-25,2020,0.1241418262209683,-0.17168713361368146,69.87
20,San Carlos Reservation,Wild,2020-08-10,2020,0.11538311976080116,-0.16262672104933515,14.15
20,San Carlos Reservation,Wild,2020-08-26,2020,0.11503464578235355,-0.15516220265475755,13.11
20,San Carlos Reservation,Wild,2020-09-11,2020,0.05617859407072919,-0.07715198367180275,47.82
20,San Carlos Reservation,Wild,2020-09-27,2020,0.1057551952757249,-0.1526406156643378,0.02
20,San Carlos Reservation,Wild,2020-10-13,2020,0.10216520223331219,-0.14928108245725916,0.01
20,San Carlos Reservation,Wild,2020-10-29,2020,0.10451954610328854,-0.1503165144646405,1.18
20,San Carlos Reservation,Wild,2020-11-14,2020,0.09975391037988507,-0.1442618917019739,0.12
20,San Carlos Reservation,Wild,2020-11-30,2020,0.09506846256194829,-0.14016856821947668,0.18
20,San Carlos Reservation,Wild,2020-12-16,2020,0.09280113504024602,-0.13631543951433853,1.43
18,Picacho Peak State Park,Wild,2020-06-14,2020,0.09204890716126166,-0.15336436522119845,0.01
20,San Carlos Reservation,Wild,2020-06-14,2020,0.12804700586921977,-0.1781831691354803,0.01
23,Suguaro Lake,Wild,2020-06-14,2020,0.10528691617235716,-0.15465586529980968,0.01
18,Picacho Peak State Park,Wild,2020-06-30,2020,0.09152877189833784,-0.15253557327453385,0.3
20,San Carlos Reservation,Wild,2020-06-30,2020,0.12439017035234454,-0.17679124633605064,0.3
23,Suguaro Lake,Wild,2020-06-30,2020,0.10240193438267481,-0.15359749075414295,0.3
18,Picacho Peak State Park,Wild,2020-07-16,2020,0.09456373832854524,-0.15610718931649648,47.38
20,San Carlos Reservation,Wild,2020-07-16,2020,0.10912078313035213,-0.15892764632538225,47.38
23,Suguaro Lake,Wild,2020-07-16,2020,0.09001596459093496,-0.13459705288574378,47.38
18,Picacho Peak State Park,Wild,2020-08-01,2020,0.09863611542268173,-0.15437259871038686,8.47
20,San Carlos Reservation,Wild,2020-08-01,2020,0.11982351220190189,-0.16758025745819718,8.47
23,Suguaro Lake,Wild,2020-08-01,2020,0.10470217706500624,-0.15559206471123996,8.47
18,Picacho Peak State Park,Wild,2020-08-17,2020,0.09893748258009313,-0.15502109033815356,6.26
20,San Carlos Reservation,Wild,2020-08-17,2020,0.11391808566335757,-0.16143824180559035,6.26
23,Suguaro Lake,Wild,2020-08-17,2020,0.09918010493621089,-0.15014787696206733,6.26
18,Picacho Peak State Park,Wild,2020-09-02,2020,0.09141681825890383,-0.14506600279847057,1.11
20,San Carlos Reservation,Wild,2020-09-02,2020,0.11058417999549607,-0.15921089227648844,1.11
23,Suguaro Lake,Wild,2020-09-02,2020,0.1021323241104944,-0.153297269357442,1.11
18,Picacho Peak State Park,Wild,2020-09-18,2020,0.08758635242355399,-0.13837778968121633,0.0
20,San Carlos Reservation,Wild,2020-09-18,2020,0.10074948866081837,-0.1418192687112276,0.0
23,Suguaro Lake,Wild,2020-09-18,2020,0.09578143068941967,-0.14271865169697368,0.0
18,Picacho Peak State Park,Wild,2020-10-04,2020,0.08294731329762575,-0.13907362530568904,0.0
20,San Carlos Reservation,Wild,2020-10-04,2020,0.10017797825071162,-0.1484126259208651,0.0
23,Suguaro Lake,Wild,2020-10-04,2020,0.09331506694873885,-0.1441788456036256,0.0
18,Picacho Peak State Park,Wild,2020-10-20,2020,0.08143415930433491,-0.13683934610238624,0.01
20,San Carlos Reservation,Wild,2020-10-20,2020,0.09916573549447809,-0.1494160309081078,0.01
23,Suguaro Lake,Wild,2020-10-20,2020,0.09214568363665028,-0.14237439235239424,0.01
18,Picacho Peak State Park,Wild,2020-11-21,2020,0.08075770280830881,-0.13137660636796483,35.29
20,San Carlos Reservation,Wild,2020-11-21,2020,0.08584444418247288,-0.1282660047947914,35.29
23,Suguaro Lake,Wild,2020-11-21,2020,0.0902557168612165,-0.13473804296554057,35.29
18,Picacho Peak State Park,Wild,2020-12-07,2020,0.080214384984985,-0.1345238959770491,1.44
20,San Carlos Reservation,Wild,2020-12-07,2020,0.09223784441782086,-0.14069200965623,1.44
23,Suguaro Lake,Wild,2020-12-07,2020,0.08967604748322147,-0.13764572116002058,1.44
