Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
San Carlos Reservation,2020,0.1502692374398214,-0.1706359122161222,58.33,-110.30621859902435,33.276734080468145,1,3,63,3,1,0,0,0
San Carlos Reservation,2020,0.225450610860754,-0.2137171717347583,63.87,-110.30621859902435,33.276734080468145,1,3,79,19,1,0,0,0
San Carlos Reservation,2020,0.1678703625580667,-0.189902948255822,0.45,-110.30621859902435,33.276734080468145,1,4,95,4,1,0,0,0
San Carlos Reservation,2020,0.1556139050751463,-0.1874132306446062,0.43,-110.30621859902435,33.276734080468145,1,4,111,20,1,0,0,0
San Carlos Reservation,2020,0.1436406059356767,-0.1853036046501206,0.06,-110.30621859902435,33.276734080468145,1,5,127,6,1,0,0,0
San Carlos Reservation,2020,0.1355950736578703,-0.1825788046630398,0.01,-110.30621859902435,33.276734080468145,1,5,143,22,1,0,0,0
Picacho Peak State Park,2020,0.096501662974247,-0.1464933603366057,33.18,-111.41815624542738,32.631914235689194,1,4,118,27,1,0,0,0
San Carlos Reservation,2020,0.1593581211201239,-0.1994861109463418,33.18,-110.30621859902435,33.276734080468145,1,4,118,27,1,0,0,0
South Mountain Park and Preserve,2020,0.0942464652888833,-0.1346322861326137,33.18,-112.07403564386821,33.335509687319345,1,4,118,27,1,0,0,0
Suguaro Lake,2020,0.1328331224586167,-0.1729241043801259,33.18,-111.54542234104356,33.598266304516876,1,4,118,27,1,0,0,0
Picacho Peak State Park,2020,0.0973073324489808,-0.154152377897938,0.0,-111.41815624542738,32.631914235689194,1,5,134,13,1,0,0,0
San Carlos Reservation,2020,0.1416649513441685,-0.1877908750790785,0.0,-110.30621859902435,33.276734080468145,1,5,134,13,1,0,0,0
Suguaro Lake,2020,0.1276107651009864,-0.1728948707306289,0.0,-111.54542234104356,33.598266304516876,1,5,134,13,1,0,0,0
Picacho Peak State Park,2020,0.0942851679203209,-0.1524660799134112,0.04,-111.41815624542738,32.631914235689194,1,5,150,29,1,0,0,0
San Carlos Reservation,2020,0.1358457960000834,-0.1837608158133656,0.04,-110.30621859902435,33.276734080468145,1,5,150,29,1,0,0,0
Suguaro Lake,2020,0.1212040809286576,-0.1688151069874949,0.04,-111.54542234104356,33.598266304516876,1,5,150,29,1,0,0,0
Picacho Peak State Park,2020,0.1109102267302325,-0.1513660142110475,79.87,-111.41815624542738,32.631914235689194,1,4,102,11,1,0,0,0
Picacho Peak State Park,2020,0.0947746258255043,-0.1431327872776087,46.43,-111.41815624542738,32.631914235689194,1,4,118,27,1,0,0,0
Picacho Peak State Park,2020,0.0967821659496972,-0.1529221491026571,0.02,-111.41815624542738,32.631914235689194,1,5,134,13,1,0,0,0
Picacho Peak State Park,2020,0.0940081348069467,-0.1517614890310062,0.0,-111.41815624542738,32.631914235689194,1,5,150,29,1,0,0,0
Black Canyon City,2020,0.1644572320790223,-0.1798453249355491,5.44,-112.1229142911712,34.12896611231567,1,3,61,1,1,0,0,0
Suguaro Lake,2020,0.1680641393625902,-0.1883173101904711,5.44,-111.54542234104356,33.598266304516876,1,3,61,1,1,0,0,0
Black Canyon City,2020,0.1783232843328431,-0.1863050010526525,23.99,-112.1229142911712,34.12896611231567,1,3,77,17,1,0,0,0
Suguaro Lake,2020,0.1546869243015829,-0.1684110061180738,23.99,-111.54542234104356,33.598266304516876,1,3,77,17,1,0,0,0
Black Canyon City,2020,0.1745658055527001,-0.1908738145375017,0.1,-112.1229142911712,34.12896611231567,1,4,93,2,1,0,0,0
Suguaro Lake,2020,0.1554692519107074,-0.1855179904999627,0.1,-111.54542234104356,33.598266304516876,1,4,93,2,1,0,0,0
Black Canyon City,2020,0.1683859324680675,-0.1918172929647893,24.4,-112.1229142911712,34.12896611231567,1,4,109,18,1,0,0,0
Suguaro Lake,2020,0.2007905165899106,-0.31164474690808,24.4,-111.54542234104356,33.598266304516876,1,4,109,18,1,0,0,0
Black Canyon City,2020,0.1481519338269044,-0.1828727950266062,0.01,-112.1229142911712,34.12896611231567,1,5,125,4,1,0,0,0
Suguaro Lake,2020,0.1304633027566441,-0.1724634635386591,0.01,-111.54542234104356,33.598266304516876,1,5,125,4,1,0,0,0
Black Canyon City,2020,0.1345263066490613,-0.1778532436571644,0.01,-112.1229142911712,34.12896611231567,1,5,141,20,1,0,0,0
Suguaro Lake,2020,0.1255984255527301,-0.1730847662750191,0.01,-111.54542234104356,33.598266304516876,1,5,141,20,1,0,0,0
Black Canyon City,2020,0.1577761373606418,-0.1730407564822993,8.0,-112.1229142911712,34.12896611231567,1,3,61,1,1,0,0,0
