,product-type,start-date,product-format,scene-centre,pixel-spacing,sensor,incidence-angle-high,image-pixels,sensor-mode,orbit-direction,polarization,corner-coordinates,processing-level,processor-version,product-id,public-good,image-lines,end-date,absolute-orbit,beam,delivery-date,processing-date,band,spatial-resolution,order-key,position,sequence-id,title,archive-visibility-start-date,incidence-angle-low,geodetic-terrain-height,processor-name,look-orientation,lut-applied,download_link
0,SCW,2010-03-01T22:05:18.250000,CEOS,POINT(-64.552979 46.834579),50.0,RADARSAT-1,49,,ScanSAR Wide,Ascending,HH,"POLYGON((-67.335037 43.957657,-60.428991 44.864853,-61.446319 49.715224,-69.00157 48.800581,-67.335037 43.957657))",l1,V 7.8.1,A0596612,False,,2010-03-01T22:06:41.115000,74765.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596612_SCWB_20100301_220518_HH_SCW01f,SCWA,4557748,rsat1_20100301_N4683W06455,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596612_SCWB_20100301_220518_HH_SCW01F.tif
1,SCW,2010-03-02T21:36:25.700000,CEOS,POINT(-57.6575 48.616535),50.0,RADARSAT-1,49,,ScanSAR Wide,Ascending,HH,"POLYGON((-60.497716 45.7482,-53.43065 46.646116,-54.463619 51.49054,-62.238016 50.581284,-60.497716 45.7482))",l1,V 7.8.1,A0596632,False,,2010-03-02T21:37:48.503000,74779.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596632_SCWB_20100302_213625_HH_SCW01f,SCWA,4623992,rsat1_20100302_N4861W05765,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596632_SCWB_20100302_213625_HH_SCW01F.tif
2,SCW,2010-03-03T16:25:18.049000,CEOS,POINT(-151.787864 58.519137),50.0,RADARSAT-1,49,,ScanSAR Wide,Descending,HH,"POLYGON((-145.797617 60.429664,-155.936956 61.419529,-157.135823 56.582929,-148.281058 55.644427,-145.797617 60.429664))",l1,V 7.8.1,A0596641,False,,2010-03-03T16:26:40.943000,74790.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596641_SCWB_20100303_162518_HH_SCW01f,SCWA,4559157,rsat1_20100303_N5851W15178,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596641_SCWB_20100303_162518_HH_SCW01F.tif
3,SCW,2010-03-03T09:42:45.438000,CEOS,POINT(-51.643591 56.796597),50.0,RADARSAT-1,49,,ScanSAR Wide,Descending,HH,"POLYGON((-45.988951 58.724222,-55.565715 59.688716,-56.726404 54.848187,-48.293296 53.925262,-45.988951 58.724222))",l1,V 7.8.1,A0596643,False,,2010-03-03T09:44:08.357000,74786.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596643_SCWB_20100303_094245_HH_SCW01f,SCWA,4626277,rsat1_20100303_N5679W05164,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596643_SCWB_20100303_094245_HH_SCW01F.tif
4,SCW,2010-03-03T11:27:11.465000,CEOS,POINT(-80.61206 43.889164),50.0,RADARSAT-1,49,,ScanSAR Wide,Descending,HH,"POLYGON((-76.411087 45.888729,-83.532191 46.792806,-84.532105 41.889245,-77.972855 40.985874,-76.411087 45.888729))",l1,V 7.8.1,A0596644,False,,2010-03-03T11:28:35.175000,74787.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596644_SCWB_20100303_112711_HH_SCW01f,SCWA,4623521,rsat1_20100303_N4388W08061,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596644_SCWB_20100303_112711_HH_SCW01F.tif
5,SCW,2010-03-03T21:06:38.373000,CEOS,POINT(-49.923026 47.18993),50.0,RADARSAT-1,49,,ScanSAR Wide,Ascending,HH,"POLYGON((-52.691339 44.320399,-45.808235 45.217175,-46.827292 50.063357,-54.365239 49.15879,-52.691339 44.320399))",l1,V 7.8.1,A0596649,False,,2010-03-03T21:08:01.173000,74793.0,ScanSAR Wide A (W1 W2 W3 S7),2010-03-04T00:02:01+00:00,2010-03-04T00:02:04+00:00,C,100.0,RS1_A0596649_SCWB_20100303_210638_HH_SCW01f,SCWA,4597360,rsat1_20100303_N4718W04992,2010-03-04T07:06:38.373000+00:00,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596649_SCWB_20100303_210638_HH_SCW01F.tif
6,SCW,2010-03-05T01:40:07.731000,CEOS,POINT(-118.752536 49.26359),50.0,RADARSAT-1,49,,ScanSAR Wide,Ascending,HH,"POLYGON((-121.668355 46.40543,-114.433931 47.316167,-115.46882 52.128605,-123.43904 51.204157,-121.668355 46.40543))",l1,V 7.8.1,A0596657,False,,2010-03-05T01:41:29.998000,74810.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596657_SCWB_20100305_014007_HH_SCW01f,SCWA,4624026,rsat1_20100305_N4926W11875,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596657_SCWB_20100305_014007_HH_SCW01F.tif
7,SCW,2010-03-05T12:08:19.112000,CEOS,POINT(-90.325171 46.910944),50.0,RADARSAT-1,49,,ScanSAR Wide,Descending,HH,"POLYGON((-85.857592 48.924825,-93.428662 49.835552,-94.460647 44.893472,-87.553783 43.989925,-85.857592 48.924825))",l1,V 7.8.1,A0596661,False,,2010-03-05T12:09:43.548000,74816.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596661_SCWB_20100305_120819_HH_SCW01f,SCWA,4626306,rsat1_20100305_N4691W09032,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596661_SCWB_20100305_120819_HH_SCW01F.tif
8,SCW,2010-03-03T22:46:36.312000,CEOS,POINT(-74.417079 44.365108),50.0,RADARSAT-1,49,,ScanSAR Wide,Ascending,HH,"POLYGON((-77.112755 41.51764,-70.455622 42.429953,-71.438941 47.213716,-78.661 46.299124,-77.112755 41.51764))",l1,V 7.8.1,A0596663,False,,2010-03-03T22:47:57.987000,74794.0,ScanSAR Wide A (W1 W2 W3 S7),,,C,100.0,RS1_A0596663_SCWB_20100303_224636_HH_SCW01f,SCWA,4624024,rsat1_20100303_N4436W07441,,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596663_SCWB_20100303_224636_HH_SCW01F.tif
9,SCN,2010-03-04T00:27:38.111000,CEOS,POINT(-100.897444 44.214512),25.0,RADARSAT-1,39,,ScanSAR Narrow,Ascending,HH,"POLYGON((-102.591475 42.473751,-98.382067 43.09133,-99.099657 45.958119,-103.516576 45.334846,-102.591475 42.473751))",l1,V 7.8.1,A0596664,False,,2010-03-04T00:28:26.979000,74795.0,ScanSAR Narrow A (W1 W2),2010-03-04T02:44:01+00:00,2010-03-04T02:44:05+00:00,C,50.0,RS1_A0596664_SCNA_20100304_002738_HH_SCN01f,SCNA,4623464,rsat1_20100304_N4421W10089,2010-03-04T10:27:38.111000+00:00,19,0.0,MSSAR,Right,Ice,https://s3-ca-central-1.amazonaws.com/radarsat-r1-l1-cog/2010/3/RS1_A0596664_SCNA_20100304_002738_HH_SCN01F.tif
